,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid
0,22146.6250999,6447.72659993,31.5112001896,0.00169992446899,0.112900018692,exp1,ccs.ornl.gov,16016,1000,pilot.0000,rp.session.titan-ext2.aleang9.017222.0009
1,149.032700062,5571.62950015,34.6119999886,0.00159978866577,0.12180018425,exp1,nid04353.10.128.17.36,16016,1000,pilot.0000,rp.session.titan-ext2.aleang9.017222.0015
2,12008.0049999,4502.30669999,33.2022001743,0.00179982185364,0.11360001564,exp1,nid14706.10.128.57.229,16016,1000,pilot.0000,rp.session.titan-ext2.aleang9.017222.0018
3,1388.94799995,4622.12750006,56.2021999359,0.00180006027222,0.114599943161,exp1,ccs.ornl.gov,16016,1000,pilot.0000,rp.session.titan-ext2.aleang9.017222.0025
4,166.615300179,4712.44869995,36.7725999355,0.00200009346008,0.118599891663,exp1,ccs.ornl.gov,16016,1000,pilot.0000,rp.session.titan-ext2.aleang9.017222.0029
5,3227.62299991,4588.38880014,70.4763000011,0.00200009346008,0.113599777222,exp1,ccs.ornl.gov,16016,1000,pilot.0000,rp.session.titan-ext2.aleang9.017222.0032
6,416.033900023,4583.46539998,38.8246998787,0.00160002708435,0.121999979019,exp1,ccs.ornl.gov,16016,1000,pilot.0000,rp.session.titan-ext7.aleang9.017223.0001
7,695.771300077,5326.11260009,38.2293999195,0.00180006027222,0.113199949265,exp1,nid04017.10.128.15.208,16016,1000,pilot.0000,rp.session.titan-ext7.aleang9.017223.0006
8,278.71969986,5102.22520018,38.8819000721,0.00180006027222,0.11879992485,exp1,nid06899.10.128.27.42,16016,1000,pilot.0000,rp.session.titan-ext7.aleang9.017224.0001
9,5963.37269998,4502.87980008,60.8336999416,0.00239992141724,0.112800121307,exp1,ccs.ornl.gov,16016,1000,pilot.0000,rp.session.titan-ext7.aleang9.017224.0009
10,326.990999937,4502.1803,85.9739999771,0.00189995765686,0.121600151062,exp1,nid12506.10.128.49.61,16016,1000,pilot.0000,rp.session.titan-ext7.aleang9.017224.0021
11,136.961199999,5104.04150009,60.0978000164,0.00209999084473,0.116499900818,exp2,ccs.ornl.gov,32016,2000,pilot.0000,rp.session.titan-ext2.aleang9.017222.0035
12,76671.1903,4703.81170011,80.4954998493,0.00190019607544,0.114899873734,exp2,nid12068.10.128.47.131,32016,2000,pilot.0000,rp.session.titan-ext2.aleang9.017222.0037
13,45742.4059,4835.14680004,42.8552999496,0.00189995765686,0.114900112152,exp2,ccs.ornl.gov,32016,2000,pilot.0000,rp.session.titan-ext2.aleang9.017223.0003
14,2968.3829,4736.5711,38.9193000793,0.0019998550415,0.11310005188,exp2,ccs.ornl.gov,32016,2000,pilot.0000,rp.session.titan-ext2.aleang9.017224.0013
15,10951.9779,5538.34730005,33.1295998096,0.00190019607544,0.121599912643,exp3,nid03576.10.128.14.21,4016,250,pilot.0000,rp.session.titan-ext2.aleang9.017222.0011
16,1933.30500007,5803.08589983,31.5763001442,0.00189995765686,0.112999916077,exp3,nid00395.10.128.1.142,4016,250,pilot.0000,rp.session.titan-ext2.aleang9.017222.0012
17,247.470900059,5903.62349987,48.1219000816,0.00189995765686,0.113699913025,exp3,ccs.ornl.gov,4016,250,pilot.0000,rp.session.titan-ext2.aleang9.017222.0014
18,104.803900003,4402.12270021,31.8506000042,0.00189995765686,0.120800018311,exp3,ccs.ornl.gov,4016,250,pilot.0000,rp.session.titan-ext2.aleang9.017222.0017
19,1464.03040004,4402.27639985,32.7077000141,0.00189995765686,0.11260008812,exp3,ccs.ornl.gov,4016,250,pilot.0000,rp.session.titan-ext2.aleang9.017222.0019
20,1136.52180004,5304.80410004,32.4626998901,0.00170016288757,0.112999916077,exp3,nid08722.10.128.34.87,4016,250,pilot.0000,rp.session.titan-ext2.aleang9.017222.0020
21,94.5889999866,4594.08150005,68.8176000118,0.00180006027222,0.121799945831,exp3,nid08169.10.128.32.42,4016,250,pilot.0000,rp.session.titan-ext2.aleang9.017222.0024
22,1307.91620016,4402.60780001,35.0254998207,0.00220012664795,0.117500066757,exp3,ccs.ornl.gov,4016,250,pilot.0000,rp.session.titan-ext2.aleang9.017222.0028
23,77.5846998692,4560.97020006,34.6284999847,0.00160002708435,0.113000154495,exp3,ccs.ornl.gov,4016,250,pilot.0000,rp.session.titan-ext2.aleang9.017222.0031
24,483.105499983,5502.69679999,35.2133998871,0.00180006027222,0.121700048447,exp3,nid09198.10.128.36.55,4016,250,pilot.0000,rp.session.titan-ext7.aleang9.017224.0000
25,115.558599949,4572.64919996,36.0032000542,0.00189995765686,0.121700048447,exp3,nid09198.10.128.36.55,4016,250,pilot.0000,rp.session.titan-ext7.aleang9.017224.0003
26,74.0190999508,4402.19179988,35.6301000118,0.00250005722046,0.115200042725,exp3,ccs.ornl.gov,4016,250,pilot.0000,rp.session.titan-ext7.aleang9.017224.0007
27,75.4353001118,4503.15059996,35.689800024,0.00230002403259,0.117899894714,exp3,ccs.ornl.gov,4016,250,pilot.0000,rp.session.titan-ext7.aleang9.017224.0011
28,400.244600058,4469.01320004,35.3601000309,0.00219988822937,0.121299982071,exp3,nid03839.10.128.15.30,4016,250,pilot.0000,rp.session.titan-ext7.aleang9.017224.0012
29,9900.73110008,4402.41680002,35.8394999504,0.00189995765686,0.115800142288,exp3,nid06809.10.128.26.206,4016,250,pilot.0000,rp.session.titan-ext7.aleang9.017224.0019
30,5736.12709999,6055.90199995,32.8401999474,0.00200009346008,0.112900018692,exp4,nid16918.10.128.66.155,8016,500,pilot.0000,rp.session.titan-ext2.aleang9.017222.0013
31,83.4890999794,5302.64549994,33.0260000229,0.00189995765686,0.115299940109,exp4,nid07227.10.128.28.116,8016,500,pilot.0000,rp.session.titan-ext2.aleang9.017222.0021
32,584.361500025,4585.73200011,66.8497998714,0.00189995765686,0.113500118256,exp4,nid09524.10.128.37.127,8016,500,pilot.0000,rp.session.titan-ext2.aleang9.017222.0023
33,161.833500147,4586.91709995,34.5200998783,0.00189995765686,0.115800142288,exp4,ccs.ornl.gov,8016,500,pilot.0000,rp.session.titan-ext2.aleang9.017222.0027
34,77.7718999386,4551.3841002,34.8408999443,0.00189995765686,0.115400075912,exp4,ccs.ornl.gov,8016,500,pilot.0000,rp.session.titan-ext2.aleang9.017222.0030
35,822.138999939,5199.0007,35.2488999367,0.00200009346008,0.121500015259,exp4,nid08020.10.128.31.147,8016,500,pilot.0000,rp.session.titan-ext7.aleang9.017223.0008
36,676.012699842,5601.77020001,35.5127000809,0.00189995765686,0.113399982452,exp4,nid10506.10.128.41.93,8016,500,pilot.0000,rp.session.titan-ext7.aleang9.017224.0002
37,92.7949998379,4502.0546,35.0754001141,0.00189995765686,0.121599912643,exp4,nid06540.10.128.25.191,8016,500,pilot.0000,rp.session.titan-ext7.aleang9.017224.0014
38,1689.52640009,4502.41750002,81.7177000046,0.00180006027222,0.121999979019,exp4,ccs.ornl.gov,8016,500,pilot.0000,rp.session.titan-ext7.aleang9.017224.0020
39,17645.7379,4571.27259994,78.6638000011,0.00180006027222,0.12030005455,exp4,ccs.ornl.gov,8016,500,pilot.0000,rp.session.titan-ext7.aleang9.017224.0023
40,5137.8829,4694.61610007,133.055900097,0.00309991836548,0.111200094223,exp2,,32016,2000,pilot.0000,rp.session.titan-ext2.aleang9.017226.0001
