,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid
rp.session.titan-ext1.aleang9.017240.0009,74.1148002148,6489.51759982,40.7173998356,0.00209999084473,0.117700099945,6610.70360017,6307.69789982,0.886799812317,8.02770066261,5162.11330009,0.4820997715,6.42510008812,exp1,4112,4112,1,1,1,1280,1280,0,rp.session.titan-ext1.aleang9.017240.0009
rp.session.titan-ext1.aleang9.017240.0011,256.922800064,6101.76810002,38.4986000061,0.00230002403259,0.113800048828,6403.62700009,6020.00219989,4.21009731293,36.8228034973,4874.1676991,0.488399982452,5.86450004578,exp1,4112,4112,1,1,1,1280,1280,0,rp.session.titan-ext1.aleang9.017240.0011
rp.session.titan-ext1.aleang9.017240.0012,1345.68070006,6102.86150002,41.976099968,0.0032000541687,0.117599964142,7496.28369999,6040.14910007,2.22290205956,42.351205349,4903.53420019,0.904699802399,16.1324000359,exp1,4112,4112,1,1,1,1280,1280,0,rp.session.titan-ext1.aleang9.017240.0012
rp.session.titan-ext1.aleang9.017240.0014,75.1236000061,6005.43449998,39.5148000717,0.00209999084473,0.113399982452,6126.34250021,5846.46080017,0.606298685074,8.41929745674,4703.7644999,0.482000112534,8.08849978447,exp1,4112,4112,1,1,1,1280,1280,0,rp.session.titan-ext1.aleang9.017240.0014
rp.session.titan-ext1.aleang9.017241.0001,1791.54820013,6574.45919991,38.9244000912,0.00189995765686,0.115200042725,8411.44080019,6435.18569994,0.772000074387,19.647302866,5280.11590004,0.465199947357,8.01449990273,exp1,4112,4112,1,1,1,1280,1280,0,rp.session.titan-ext1.aleang9.017241.0001
rp.session.titan-ext1.aleang9.017241.0003,159.536000013,6801.79949999,39.8106999397,0.00189995765686,0.113500118256,7006.71999979,6680.05369997,4.68300294876,27.8549954891,5575.6967001,0.450200080872,13.1446998119,exp1,4112,4112,1,1,1,1280,1279,1,rp.session.titan-ext1.aleang9.017241.0003
rp.session.titan-ext1.aleang9.017241.0006,82.351099968,6179.75480008,42.9616999626,0.00200009346008,0.117199897766,6310.86389995,5982.71530008,0.60730099678,6.99590396881,4715.98720002,0.447700023651,8.80040001869,exp1,4112,4112,1,1,1,1280,1280,0,rp.session.titan-ext1.aleang9.017241.0006
rp.session.titan-ext1.aleang9.017237.0006,2097.72180009,6702.20129991,33.9642000198,0.00209999084473,0.114799976349,8839.50960016,6646.18389988,11.2724001408,90.3541002274,5455.26289988,0.931800127029,21.4607999325,exp2,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017237.0006
rp.session.titan-ext1.aleang9.017237.0008,6046.60649991,6504.07490015,34.4095001221,0.0019998550415,0.117000102997,12592.0432999,6456.48640013,11.7070999146,78.8100016117,5233.64569998,0.936900138855,9.51409983635,exp2,8208,8208,1,1,1,2560,2559,1,rp.session.titan-ext1.aleang9.017237.0008
rp.session.titan-ext1.aleang9.017238.0001,17732.4664998,5901.38110018,32.6270999908,0.00209999084473,0.115400075912,23671.9143,5819.51970005,11.8643000126,71.8941013813,4678.23519969,1.24279999733,26.7458000183,exp2,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017238.0001
rp.session.titan-ext1.aleang9.017238.0008,34294.0885999,6676.41960001,38.040199995,0.00219988822937,0.117200136185,46954.4958,6480.28329992,1.62759995461,34.7375943661,5293.14929986,1.84330010414,17.1398999691,exp2,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017238.0008
rp.session.titan-ext1.aleang9.017239.0001,2101.32500005,7107.27719998,33.8043999672,0.00169992446899,0.116900205612,9248.61179996,6864.55659986,1.55369997025,37.4554986954,5736.30089998,2.04159998894,16.4358000755,exp2,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017239.0001
rp.session.titan-ext1.aleang9.017239.0003,98.7321000099,7002.80380011,37.0450000763,0.00179982185364,0.117100000381,7144.5315001,6957.27690005,3.94689965248,26.8270950317,5724.86060023,1.31019997597,12.7010998726,exp2,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017239.0003
rp.session.titan-ext1.aleang9.017239.0005,3100.42799997,6712.10599995,32.9723000526,0.00200009346008,0.114999771118,9851.04620004,6495.35459995,1.65719985962,31.3434064388,5347.45440006,0.9117000103,13.6773998737,exp2,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017239.0005
rp.session.titan-ext1.aleang9.017239.0007,25393.7217999,6504.07270002,37.8327000141,0.00220012664795,0.113399982452,31941.7405,6366.18659997,9.96109986305,73.0795018673,5223.66460013,1.89479994774,23.6798000336,exp2,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017239.0007
rp.session.titan-ext1.aleang9.017240.0002,26033.0774999,6113.11330009,33.1772999763,0.00189995765686,0.113900184631,32185.6592,5869.5855,1.45409989357,19.0029094219,4725.34190011,1.35399985313,13.2401001453,exp2,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017240.0002
rp.session.titan-ext1.aleang9.017240.0010,2542.47420001,6489.04979992,34.2876999378,0.00200009346008,0.113699913025,9071.56620002,6316.09890008,1.72760009766,21.1674990654,5170.08459997,1.78829979897,18.3100001812,exp2,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017240.0010
rp.session.titan-ext1.aleang9.017240.0013,494.899200201,6502.98559999,37.6906998158,0.00220012664795,0.113699913025,7041.89400005,6387.13450003,7.53459453583,86.5982997417,5233.08109999,1.02060008049,18.741699934,exp2,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017240.0013
rp.session.titan-ext1.aleang9.017241.0000,1619.96239996,5902.79939985,32.6259000301,0.00209999084473,0.115400075912,7562.24440002,5847.12100005,10.4212002754,68.6287009716,4735.23699999,1.25260019302,24.7210998535,exp2,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017241.0000
rp.session.titan-ext1.aleang9.017241.0002,97.5583000183,6001.36039996,33.6542000771,0.00180006027222,0.11679983139,6138.10609984,5895.64719987,19.2898051739,92.1813006401,4668.98359799,0.949800014496,19.7569999695,exp2,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017241.0002
rp.session.titan-ext1.aleang9.017241.0004,139.249200106,6789.19569993,34.3153998852,0.00200009346008,0.113499879837,6968.53469992,6646.11669993,5.14360070229,40.652200222,5472.56990075,0.918399810791,12.9467000961,exp2,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017241.0004
rp.session.titan-ext1.aleang9.017241.0007,11460.7477,6594.76330018,34.8320000172,0.00189995765686,0.114500045776,18095.9455001,6435.29069996,1.43649983406,15.9502971172,5270.50139999,1.14810013771,10.0528998375,exp2,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017241.0007
rp.session.titan-ext1.aleang9.017237.0002,15782.4649,6907.81459999,32.6231000423,0.00169992446899,0.11510014534,37234.4261,6668.76189995,3.23679995537,164.700301647,5506.44830012,2.38949990273,31.3361001015,exp3,16400,16400,1,1,1,5120,5120,0,rp.session.titan-ext1.aleang9.017237.0002
rp.session.titan-ext1.aleang9.017237.0007,24880.7183001,7327.65750003,34.3457999229,0.00200009346008,0.114899873734,32250.5150001,7137.76609993,3.0178000927,194.568199873,5976.95259976,2.51399993896,30.6142001152,exp3,16400,16400,1,1,1,5120,5119,1,rp.session.titan-ext1.aleang9.017237.0007
rp.session.titan-ext1.aleang9.017238.0009,41070.0436001,7481.82739997,38.5612998009,0.00240015983582,0.113899946213,54412.1276,7161.23459983,3.00489997864,190.09270072,5985.82979989,1.98720002174,29.4203000069,exp3,16400,16400,1,1,1,5120,5119,1,rp.session.titan-ext1.aleang9.017238.0009
rp.session.titan-ext1.aleang9.017239.0002,315.934200048,7209.18079996,33.4210000038,0.00220012664795,0.112899780273,9199.29159999,6980.78850007,16.3864018917,97.7805023193,5737.64669991,3.80990004539,34.4911999702,exp3,16400,16400,1,1,1,5120,5115,5,rp.session.titan-ext1.aleang9.017239.0002
rp.session.titan-ext1.aleang9.017239.0004,17327.4194,6809.47990012,32.7904000282,0.0019998550415,0.112699985504,24175.5668001,6623.54380012,3.35189986229,73.4425895214,5471.36150002,2.71500015259,20.6548998356,exp3,16400,16400,1,1,1,5120,5120,0,rp.session.titan-ext1.aleang9.017239.0004
rp.session.titan-ext1.aleang9.017239.0006,90.4621999264,6834.34010005,37.6465001106,0.0019998550415,0.117500066757,7453.32310009,6653.69369984,5.80840373039,83.1246030331,5229.05689955,2.91339993477,36.8557999134,exp3,16400,16400,1,1,1,5120,5120,0,rp.session.titan-ext1.aleang9.017239.0006
rp.session.titan-ext1.aleang9.017240.0001,77817.6052001,6803.79620004,31.7088999748,0.00180006027222,0.113999843597,84665.4246001,6699.68580008,3.108700037,138.011801004,5560.2658,2.70059990883,29.6726000309,exp3,16400,16400,1,1,1,5120,5120,0,rp.session.titan-ext1.aleang9.017240.0001
rp.session.titan-ext1.aleang9.017241.0005,1260.3433001,6997.57310009,33.5752999783,0.00219988822937,0.112900018692,8708.74139977,6839.95670009,51.6112005711,80.2036881447,5676.32540011,1.97739982605,29.8684999943,exp3,16400,16400,1,1,1,5120,5120,0,rp.session.titan-ext1.aleang9.017241.0005
rp.session.titan-ext1.aleang9.017237.0001,9647.78780007,6602.23749995,33.2598998547,0.00220012664795,0.114099979401,16289.5132,6370.37389994,1.63499999046,37.2029073238,5216.61280012,0.899299860001,16.0400002003,exp4,8208,8208,1,1,1,2560,2560,0,rp.session.titan-ext1.aleang9.017237.0001
